t,p,q,in equilibrium,p_e,q_e
254,49.9999747,54.0000253,False,49.9999746,54.0000254
255,49.9999746,50.0000254,False,49.9999745,50.0000255
256,49.9999745,51.0000255,False,49.9999744,51.0000256
257,49.9999744,52.0000256,False,49.9999743,52.0000257
258,49.9999743,53.0000257,False,49.9999742,53.0000258
259,49.9999742,54.0000258,False,49.9999741,54.0000259
260,49.9999741,50.0000259,False,49.999974,50.000026
261,49.999974,51.000026,False,49.9999739,51.0000261
262,49.9999739,52.0000261,False,49.9999738,52.0000262
263,49.9999738,53.0000262,False,49.9999737,53.0000263
264,49.9999737,54.0000263,False,49.9999736,54.0000264
265,49.9999736,50.0000264,False,49.9999735,50.0000265
266,49.9999735,51.0000265,False,49.9999734,51.0000266
267,49.9999734,52.0000266,False,49.9999733,52.0000267
268,49.9999733,53.0000267,False,49.9999732,53.0000268
269,49.9999732,54.0000268,False,49.9999731,54.0000269
270,49.9999731,50.0000269,False,49.999973,50.000027
271,49.999973,51.000027,False,49.9999729,51.0000271
272,49.9999729,52.0000271,False,49.9999728,52.0000272
273,49.9999728,53.0000272,False,49.9999727,53.0000273
274,49.9999727,54.0000273,False,49.9999726,54.0000274
275,49.9999726,50.0000274,False,49.9999725,50.0000275
276,49.9999725,51.0000275,False,49.9999724,51.0000276
277,49.9999724,52.0000276,False,49.9999723,52.0000277
278,49.9999723,53.0000277,False,49.9999722,53.0000278
279,49.9999722,54.0000278,False,49.9999721,54.0000279
280,49.9999721,50.0000279,False,49.999972,50.000028
281,49.999972,51.000028,False,49.9999719,51.0000281
282,49.9999719,52.0000281,False,49.9999718,52.0000282
283,49.9999718,53.0000282,False,49.9999717,53.0000283
284,49.9999717,54.0000283,False,49.9999716,54.0000284
285,49.9999716,50.0000284,False,49.9999715,50.0000285
286,49.9999715,51.0000285,False,49.9999714,51.0000286
287,49.9999714,52.0000286,False,49.9999713,52.0000287
288,49.9999713,53.0000287,False,49.9999712,53.0000288
289,49.9999712,54.0000288,False,49.9999711,54.0000289
290,49.9999711,50.0000289,False,49.999971,50.000029
291,49.999971,51.000029,False,49.9999709,51.0000291
292,49.9999709,52.0000291,False,49.9999708,52.0000292
293,49.9999708,53.0000292,False,49.9999707,53.0000293
294,49.9999707,54.0000293,False,49.9999706,54.0000294
295,49.9999706,50.0000294,False,49.9999705,50.0000295
296,49.9999705,51.0000295,False,49.9999704,51.0000296
297,49.9999704,52.0000296,False,49.9999703,52.0000297
298,49.9999703,53.0000297,False,49.9999702,53.0000298
299,49.9999702,54.0000298,False,49.9999701,54.0000299
300,49.9999701,50.0000299,False,49.99997,50.00003
301,49.99997,51.00003,False,49.9999699,51.0000301
302,49.9999699,52.0000301,False,49.9999698,52.0000302
303,49.9999698,53.0000302,False,49.9999697,53.0000303
304,49.9999697,54.0000303,False,49.9999696,54.0000304
305,49.9999696,50.0000304,False,49.9999695,50.0000305
306,49.9999695,51.0000305,False,49.9999694,51.0000306
307,49.9999694,52.0000306,False,49.9999693,52.0000307
308,49.9999693,53.0000307,False,49.9999692,53.0000308
309,49.9999692,54.0000308,False,49.9999691,54.0000309
310,49.9999691,50.0000309,False,49.999969,50.000031
311,49.999969,51.000031,False,49.9999689,51.0000311
312,49.9999689,52.0000311,False,49.9999688,52.0000312
313,49.9999688,53.0000312,False,49.9999687,53.0000313
314,49.9999687,54.0000313,False,49.9999686,54.0000314
315,49.9999686,50.0000314,False,49.9999685,50.0000315
316,49.9999685,51.0000315,False,49.9999684,51.0000316
317,49.9999684,52.0000316,False,49.9999683,52.0000317
318,49.9999683,53.0000317,False,49.9999682,53.0000318
319,49.9999682,54.0000318,False,49.9999681,54.0000319
320,49.9999681,50.0000319,False,49.999968,50.000032
321,49.999968,51.000032,False,49.9999679,51.0000321
322,49.9999679,52.0000321,False,49.9999678,52.0000322
323,49.9999678,53.0000322,False,49.9999677,53.0000323
324,49.9999677,54.0000323,False,49.9999676,54.0000324
325,49.9999676,50.0000324,False,49.9999675,50.0000325
326,49.9999675,51.0000325,False,49.9999674,51.0000326
327,49.9999674,52.0000326,False,49.9999673,52.0000327
328,49.9999673,53.0000327,False,49.9999672,53.0000328
329,49.9999672,54.0000328,False,49.9999671,54.0000329
330,49.9999671,50.0000329,False,49.999967,50.000033
331,49.999967,51.000033,False,49.9999669,51.0000331
332,49.9999669,52.0000331,False,49.9999668,52.0000332
333,49.9999668,53.0000332,False,49.9999667,53.0000333
334,49.9999667,54.0000333,False,49.9999666,54.0000334
335,49.9999666,50.0000334,False,49.9999665,50.0000335
336,49.9999665,51.0000335,False,49.9999664,51.0000336
337,49.9999664,52.0000336,False,49.9999663,52.0000337
338,49.9999663,53.0000337,False,49.9999662,53.0000338
339,49.9999662,54.0000338,False,49.9999661,54.0000339
340,49.9999661,50.0000339,False,49.999966,50.000034
341,49.999966,51.000034,False,49.9999659,51.0000341
342,49.9999659,52.0000341,False,49.9999658,52.0000342
